Model,RMSE,MAE,RÂ²,Training Time (s),Tuned,Best Parameters
SVR,2.1753877160493618,1.4891526229121457,0.5628434279591186,5.1387059688568115,Yes,"{'C': 10.0, 'epsilon': 0.2, 'kernel': 'rbf'}"
Ridge,2.2115720805423384,1.5938936382438753,0.5481795690937608,0.03638100624084473,Yes,"{'alpha': 1.0, 'solver': 'svd'}"
LinearRegression,2.2116130871218362,1.5931067816608355,0.5481628137889264,0.000827789306640625,No,N/A
ElasticNet,2.2118006275919178,1.5939061597182262,0.5480861807181654,0.13218283653259277,Yes,"{'alpha': 0.001, 'l1_ratio': 0.9}"
Lasso,2.2118216827325603,1.593778084245371,0.5480775767290048,0.09020113945007324,Yes,"{'alpha': 0.001, 'selection': 'random'}"
KNN,2.2124788941012774,1.5121873569882753,0.5478089721822588,0.15604615211486816,Yes,"{'n_neighbors': 11, 'p': 1, 'weights': 'distance'}"
RandomForest,2.2180897388478806,1.5502902350804662,0.5455125518232979,20.0590660572052,Yes,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
GradientBoosting,2.2464683800685306,1.5716183192585786,0.5338085670939243,26.601893186569214,Yes,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}"
DecisionTree,2.316379774393331,1.6257537340032628,0.5043407715289152,2.3494338989257812,Yes,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}"
